Date,Year,Country,Precip_mm,Temp_K,SoilMoisture,Evaporation,NDVI,SPI_1,SPI_3,SPI_6,SPI_12,ONI_DJF,ONI_JFM,ONI_FMA,ONI_MAM,ONI_AMJ,ONI_MJJ,ONI_JJA,ONI_JAS,ONI_ASO,ONI_SON,ONI_OND,ONI_NDJ
01/11/2000,2000,Ethiopia,30.72335462,294.7803092,0.231945688,-0.002184729,0.46025915,0.280577465,0.668417399,0.518686687,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/12/2000,2000,Uganda,69.66663463,295.6867132,0.259305102,-0.003029835,0.520318372,0.152687513,0.074383659,-0.066082567,-0.790361165,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/12/2000,2000,Somalia,5.338859584,298.3044181,0.079811554,-0.00062469,0.266986489,0.359255721,0.214936044,0.164282055,-0.352109755,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/12/2000,2000,Ethiopia,10.4239256,295.1357868,0.175024279,-0.001282568,0.396564041,0.653252706,0.83979231,0.832325366,-0.394742394,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/12/2000,2000,Kenya,54.43848223,297.9414171,0.205652758,-0.002176036,0.408746844,0.086302613,-0.307182495,-0.484017815,-2.209846203,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/01/2001,2001,Uganda,45.88606113,295.8994965,0.230415217,-0.002736092,0.460132069,0.687830668,0.203114067,0.021948528,-0.54739851,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/01/2001,2001,Somalia,0.326380885,297.6471285,0.065925232,-0.000229292,0.224628691,-0.085090659,-0.557243471,0.172049353,-0.317598798,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/01/2001,2001,Ethiopia,6.378228264,295.1568666,0.156353791,-0.000871899,0.325483605,-0.227494624,-0.022305962,0.695144027,-0.321426904,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/01/2001,2001,Kenya,48.66824543,298.2510886,0.188504743,-0.001683062,0.378803727,1.749537871,0.269204371,-0.043472799,-1.588361596,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/02/2001,2001,Ethiopia,10.72859358,296.5763477,0.159851037,-0.000889224,0.287609801,-0.090797695,-0.349100435,0.530635626,-0.180692836,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
